Species,tip.label,Phylum,Class,Order,Genus,hla,fsa,hla_count,fsa_count,hla_logcount,fsa_logcount
Yarrowia lipolytica CLIB122,Yarrowia_lipolytica_CLIB122,Ascomycota,Saccharomycetes,Saccharomycetales,Yarrowia,Yes,No,1,0,0,-Inf
Schizosaccharomyces cryophilus OY26,Schizosaccharomyces_cryophilus_OY26,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomyces,Yes,No,1,0,0,-Inf
Schizosaccharomyces japonicus yFS275,Schizosaccharomyces_japonicus_yFS275,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomyces,Yes,No,1,0,0,-Inf
Schizosaccharomyces octosporus yFS286,Schizosaccharomyces_octosporus_yFS286,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomyces,Yes,No,1,0,0,-Inf
Diaporthe helianthi,Diaporthe_helianthi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthe,Yes,No,1,0,0,-Inf
Valsa malicola,Valsa_malicola,Ascomycota,Sordariomycetes,Diaporthales,Valsa,Yes,No,1,0,0,-Inf
Colletotrichum acutatum,Colletotrichum_acutatum,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,No,1,0,0,-Inf
Colletotrichum fioriniae PJ7,Colletotrichum_fioriniae_PJ7,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,No,1,0,0,-Inf
Colletotrichum fructicola Nara gc5,Colletotrichum_fructicola_Nara_gc5,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,No,1,0,0,-Inf
Colletotrichum gloeosporioides 23,Colletotrichum_gloeosporioides_23,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,No,1,0,0,-Inf
Colletotrichum godetiae,Colletotrichum_godetiae,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,No,1,0,0,-Inf
Colletotrichum salicis,Colletotrichum_salicis,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,No,1,0,0,-Inf
Colletotrichum siamense,Colletotrichum_siamense,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,No,1,0,0,-Inf
Colletotrichum simmondsii,Colletotrichum_simmondsii,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,No,1,0,0,-Inf
Colletotrichum sublineola,Colletotrichum_sublineola,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,No,1,0,0,-Inf
Colletotrichum truncatum,Colletotrichum_truncatum,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,No,1,0,0,-Inf
Verticillium alfalfae VaMs.102,Verticillium_alfalfae_VaMs.102,Ascomycota,Sordariomycetes,Glomerellales,Verticillium,Yes,No,1,0,0,-Inf
Verticillium dahliae VDG1,Verticillium_dahliae_VDG1,Ascomycota,Sordariomycetes,Glomerellales,Verticillium,Yes,No,1,0,0,-Inf
Verticillium nonalfalfae,Verticillium_nonalfalfae,Ascomycota,Sordariomycetes,Glomerellales,Verticillium,Yes,No,1,0,0,-Inf
Claviceps purpurea 20.1,Claviceps_purpurea_20.1,Ascomycota,Sordariomycetes,Hypocreales,Claviceps,Yes,No,1,0,0,-Inf
Epichloe festucae Fl1,Epichloe_festucae_Fl1,Ascomycota,Sordariomycetes,Hypocreales,Epichloe,Yes,No,1,0,0,-Inf
Escovopsis weberi,Escovopsis_weberi,Ascomycota,Sordariomycetes,Hypocreales,Escovopsis,Yes,No,1,0,0,-Inf
Fusarium agapanthi,Fusarium_agapanthi,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,No,1,0,0,-Inf
Fusarium circinatum,Fusarium_circinatum,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,No,1,0,0,-Inf
Fusarium fujikuroi IMI 58289,Fusarium_fujikuroi_IMI_58289,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,No,1,0,0,-Inf
Fusarium gaditjirri,Fusarium_gaditjirri,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,No,1,0,0,-Inf
Fusarium graminearum PH-1,Fusarium_graminearum_PH-1,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,No,1,0,0,-Inf
Fusarium heterosporum,Fusarium_heterosporum,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,No,1,0,0,-Inf
Fusarium langsethiae,Fusarium_langsethiae,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,No,1,0,0,-Inf
Fusarium nygamai,Fusarium_nygamai,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,No,1,0,0,-Inf
Fusarium sp. NRRL 52700,Fusarium_sp._NRRL_52700,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,No,1,0,0,-Inf
Fusarium sporotrichioides,Fusarium_sporotrichioides,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,No,1,0,0,-Inf
Fusarium tricinctum,Fusarium_tricinctum,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,No,1,0,0,-Inf
Fusarium verticillioides 7600,Fusarium_verticillioides_7600,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,No,1,0,0,-Inf
Metarhizium anisopliae BRIP 53284,Metarhizium_anisopliae_BRIP_53284,Ascomycota,Sordariomycetes,Hypocreales,Metarhizium,Yes,No,1,0,0,-Inf
Metarhizium brunneum ARSEF 3297,Metarhizium_brunneum_ARSEF_3297,Ascomycota,Sordariomycetes,Hypocreales,Metarhizium,Yes,No,1,0,0,-Inf
Metarhizium guizhouense ARSEF 977,Metarhizium_guizhouense_ARSEF_977,Ascomycota,Sordariomycetes,Hypocreales,Metarhizium,Yes,No,1,0,0,-Inf
Metarhizium majus ARSEF 297,Metarhizium_majus_ARSEF_297,Ascomycota,Sordariomycetes,Hypocreales,Metarhizium,Yes,No,1,0,0,-Inf
Ophiocordyceps camponoti-rufipedis,Ophiocordyceps_camponoti-rufipedis,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordyceps,Yes,No,1,0,0,-Inf
Ophiocordyceps polyrhachis-furcata BCC 54312,Ophiocordyceps_polyrhachis-furcata_BCC_54312,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordyceps,Yes,No,1,0,0,-Inf
Ophiocordyceps sinensis CO18,Ophiocordyceps_sinensis_CO18,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordyceps,Yes,No,1,0,0,-Inf
Trichoderma arundinaceum,Trichoderma_arundinaceum,Ascomycota,Sordariomycetes,Hypocreales,Trichoderma,Yes,No,1,0,0,-Inf
Trichoderma asperellum CBS 433.97,Trichoderma_asperellum_CBS_433.97,Ascomycota,Sordariomycetes,Hypocreales,Trichoderma,Yes,No,1,0,0,-Inf
Trichoderma citrinoviride,Trichoderma_citrinoviride,Ascomycota,Sordariomycetes,Hypocreales,Trichoderma,Yes,No,1,0,0,-Inf
Trichoderma guizhouense,Trichoderma_guizhouense,Ascomycota,Sordariomycetes,Hypocreales,Trichoderma,Yes,No,1,0,0,-Inf
Trichoderma harzianum CBS 226.95,Trichoderma_harzianum_CBS_226.95,Ascomycota,Sordariomycetes,Hypocreales,Trichoderma,Yes,No,1,0,0,-Inf
Trichoderma longibrachiatum ATCC 18648,Trichoderma_longibrachiatum_ATCC_18648,Ascomycota,Sordariomycetes,Hypocreales,Trichoderma,Yes,No,1,0,0,-Inf
Trichoderma parareesei,Trichoderma_parareesei,Ascomycota,Sordariomycetes,Hypocreales,Trichoderma,Yes,No,1,0,0,-Inf
Trichoderma reesei RUT C-30,Trichoderma_reesei_RUT_C-30,Ascomycota,Sordariomycetes,Hypocreales,Trichoderma,Yes,No,1,0,0,-Inf
Trichoderma virens FT-333,Trichoderma_virens_FT-333,Ascomycota,Sordariomycetes,Hypocreales,Trichoderma,Yes,No,1,0,0,-Inf
Pyricularia oryzae Y34,Pyricularia_oryzae_Y34,Ascomycota,Sordariomycetes,Magnaporthales,Pyricularia,Yes,No,1,0,0,-Inf
Ceratocystis fimbriata CBS 114723,Ceratocystis_fimbriata_CBS_114723,Ascomycota,Sordariomycetes,Microascales,Ceratocystis,Yes,No,1,0,0,-Inf
Lomentospora prolificans,Lomentospora_prolificans,Ascomycota,Sordariomycetes,Microascales,Lomentospora,Yes,No,1,0,0,-Inf
Sporothrix brasiliensis 5110,Sporothrix_brasiliensis_5110,Ascomycota,Sordariomycetes,Ophiostomatales,Sporothrix,Yes,No,1,0,0,-Inf
Chaetomium globosum CBS 148.51,Chaetomium_globosum_CBS_148.51,Ascomycota,Sordariomycetes,Sordariales,Chaetomium,Yes,No,1,0,0,-Inf
Madurella mycetomatis,Madurella_mycetomatis,Ascomycota,Sordariomycetes,Sordariales,Madurella,Yes,No,1,0,0,-Inf
Neurospora crassa OR74A,Neurospora_crassa_OR74A,Ascomycota,Sordariomycetes,Sordariales,Neurospora,Yes,No,1,0,0,-Inf
Neurospora tetrasperma FGSC 2509,Neurospora_tetrasperma_FGSC_2509,Ascomycota,Sordariomycetes,Sordariales,Neurospora,Yes,No,1,0,0,-Inf
Podospora comata,Podospora_comata,Ascomycota,Sordariomycetes,Sordariales,Podospora,Yes,No,1,0,0,-Inf
Sordaria macrospora,Sordaria_macrospora,Ascomycota,Sordariomycetes,Sordariales,Sordaria,Yes,No,1,0,0,-Inf
Daldinia sp. EC12,Daldinia_sp._EC12,Ascomycota,Sordariomycetes,Xylariales,Daldinia,Yes,No,1,0,0,-Inf
Nemania diffusa,Nemania_diffusa,Ascomycota,Sordariomycetes,Xylariales,Nemania,Yes,No,1,0,0,-Inf
Protomyces lactucae-debilis,Protomyces_lactucae-debilis,Ascomycota,Taphrinomycetes,Taphrinales,Protomyces,Yes,No,1,0,0,-Inf
Pleurotus cornucopiae,Pleurotus_cornucopiae,Basidiomycota,Agaricomycetes,Agaricales,Pleurotus,Yes,No,1,0,0,-Inf
Termitomyces sp. J132,Termitomyces_sp._J132,Basidiomycota,Agaricomycetes,Agaricales,Termitomyces,Yes,No,1,0,0,-Inf
Pisolithus tinctorius Marx 270,Pisolithus_tinctorius_Marx_270,Basidiomycota,Agaricomycetes,Boletales,Pisolithus,Yes,No,1,0,0,-Inf
Serpula lacrymans var. lacrymans S7.3,Serpula_lacrymans_var._lacrymans_S7.3,Basidiomycota,Agaricomycetes,Boletales,Serpula,Yes,No,1,0,0,-Inf
Clathrus columnatus,Clathrus_columnatus,Basidiomycota,Agaricomycetes,Phallales,Clathrus,Yes,No,1,0,0,-Inf
Cerioporus squamosus,Cerioporus_squamosus,Basidiomycota,Agaricomycetes,Polyporales,Cerioporus,Yes,No,1,0,0,-Inf
Daedalea quercina L-15889,Daedalea_quercina_L-15889,Basidiomycota,Agaricomycetes,Polyporales,Daedalea,Yes,No,1,0,0,-Inf
Earliella scabrosa,Earliella_scabrosa,Basidiomycota,Agaricomycetes,Polyporales,Earliella,Yes,No,1,0,0,-Inf
Ganoderma sinense ZZ0214-1,Ganoderma_sinense_ZZ0214-1,Basidiomycota,Agaricomycetes,Polyporales,Ganoderma,Yes,No,1,0,0,-Inf
Lentinus tigrinus ALCF2SS1-7,Lentinus_tigrinus_ALCF2SS1-7,Basidiomycota,Agaricomycetes,Polyporales,Lentinus,Yes,No,1,0,0,-Inf
Neoantrodia serialis,Neoantrodia_serialis,Basidiomycota,Agaricomycetes,Polyporales,Neoantrodia,Yes,No,1,0,0,-Inf
Physisporinus lineatus,Physisporinus_lineatus,Basidiomycota,Agaricomycetes,Polyporales,Physisporinus,Yes,No,1,0,0,-Inf
Polyporus arcularius HHB13444,Polyporus_arcularius_HHB13444,Basidiomycota,Agaricomycetes,Polyporales,Polyporus,Yes,No,1,0,0,-Inf
Steccherinum ochraceum,Steccherinum_ochraceum,Basidiomycota,Agaricomycetes,Polyporales,Steccherinum,Yes,No,1,0,0,-Inf
Trametes pubescens,Trametes_pubescens,Basidiomycota,Agaricomycetes,Polyporales,Trametes,Yes,No,1,0,0,-Inf
Exobasidium rhododendri,Exobasidium_rhododendri,Basidiomycota,Exobasidiomycetes,Exobasidiales,Exobasidium,Yes,No,1,0,0,-Inf
Rozella allomycis CSF55,Rozella_allomycis_CSF55,Cryptomycota,Unknown,Unknown,Rozella,Yes,No,1,0,0,-Inf
Gigaspora rosea,Gigaspora_rosea,Mucoromycota,Glomeromycetes,Diversisporales,Gigaspora,Yes,No,1,0,0,-Inf
Racocetra fulgida,Racocetra_fulgida,Mucoromycota,Glomeromycetes,Diversisporales,Racocetra,Yes,No,1,0,0,-Inf
Funneliformis caledonium,Funneliformis_caledonium,Mucoromycota,Glomeromycetes,Glomerales,Funneliformis,Yes,No,1,0,0,-Inf
Funneliformis mosseae,Funneliformis_mosseae,Mucoromycota,Glomeromycetes,Glomerales,Funneliformis,Yes,No,1,0,0,-Inf
Rhizophagus sp. MUCL 43196,Rhizophagus_sp._MUCL_43196,Mucoromycota,Glomeromycetes,Glomerales,Rhizophagus,Yes,No,1,0,0,-Inf
Conidiobolus coronatus NRRL 28638,Conidiobolus_coronatus_NRRL_28638,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Conidiobolus,Yes,No,1,0,0,-Inf
Neoconidiobolus thromboides FSU 785,Neoconidiobolus_thromboides_FSU_785,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Neoconidiobolus,Yes,No,1,0,0,-Inf
Candelaria pacifica,Candelaria_pacifica,Ascomycota,Candelariomycetes,Candelariales,Candelaria,Yes,Yes,1,1,0,0
Sclerophora amabilis,Sclerophora_amabilis,Ascomycota,Coniocybomycetes,Coniocybales,Sclerophora,Yes,Yes,1,1,0,0
Aplosporella prunicola CBS 121167,Aplosporella_prunicola_CBS_121167,Ascomycota,Dothideomycetes,Botryosphaeriales,Aplosporella,Yes,Yes,1,1,0,0
Diplodia corticola,Diplodia_corticola,Ascomycota,Dothideomycetes,Botryosphaeriales,Diplodia,Yes,Yes,1,1,0,0
Neofusicoccum parvum UCRNP2,Neofusicoccum_parvum_UCRNP2,Ascomycota,Dothideomycetes,Botryosphaeriales,Neofusicoccum,Yes,Yes,1,1,0,0
Saccharata proteae CBS 121410,Saccharata_proteae_CBS_121410,Ascomycota,Dothideomycetes,Botryosphaeriales,Saccharata,Yes,Yes,1,1,0,0
Polychaeton citri CBS 116435,Polychaeton_citri_CBS_116435,Ascomycota,Dothideomycetes,Capnodiales,Polychaeton,Yes,Yes,1,1,0,0
Aureobasidium melanogenum CBS 110374,Aureobasidium_melanogenum_CBS_110374,Ascomycota,Dothideomycetes,Dothideales,Aureobasidium,Yes,Yes,1,1,0,0
Aureobasidium namibiae CBS 147.97,Aureobasidium_namibiae_CBS_147.97,Ascomycota,Dothideomycetes,Dothideales,Aureobasidium,Yes,Yes,1,1,0,0
Aureobasidium pullulans EXF-150,Aureobasidium_pullulans_EXF-150,Ascomycota,Dothideomycetes,Dothideales,Aureobasidium,Yes,Yes,1,1,0,0
Aureobasidium subglaciale EXF-2481,Aureobasidium_subglaciale_EXF-2481,Ascomycota,Dothideomycetes,Dothideales,Aureobasidium,Yes,Yes,1,1,0,0
Baudoinia panamericana UAMH 10762,Baudoinia_panamericana_UAMH_10762,Ascomycota,Dothideomycetes,Mycosphaerellales,Baudoinia,Yes,Yes,1,1,0,0
Cercospora berteroae,Cercospora_berteroae,Ascomycota,Dothideomycetes,Mycosphaerellales,Cercospora,Yes,Yes,1,1,0,0
Dothistroma septosporum NZE10,Dothistroma_septosporum_NZE10,Ascomycota,Dothideomycetes,Mycosphaerellales,Dothistroma,Yes,Yes,1,1,0,0
Fulvia fulva,Fulvia_fulva,Ascomycota,Dothideomycetes,Mycosphaerellales,Fulvia,Yes,Yes,1,1,0,0
Pseudocercospora fijiensis CIRAD86,Pseudocercospora_fijiensis_CIRAD86,Ascomycota,Dothideomycetes,Mycosphaerellales,Pseudocercospora,Yes,Yes,1,1,0,0
Sphaerulina musiva SO2202,Sphaerulina_musiva_SO2202,Ascomycota,Dothideomycetes,Mycosphaerellales,Sphaerulina,Yes,Yes,1,1,0,0
Zasmidium cellare ATCC 36951,Zasmidium_cellare_ATCC_36951,Ascomycota,Dothideomycetes,Mycosphaerellales,Zasmidium,Yes,Yes,1,1,0,0
Zymoseptoria tritici IPO323,Zymoseptoria_tritici_IPO323,Ascomycota,Dothideomycetes,Mycosphaerellales,Zymoseptoria,Yes,Yes,1,1,0,0
Elsinoe australis,Elsinoe_australis,Ascomycota,Dothideomycetes,Myriangiales,Elsinoe,Yes,Yes,1,2,0,0.693147181
Lepidopterella palustris CBS 459.81,Lepidopterella_palustris_CBS_459.81,Ascomycota,Dothideomycetes,Mytilinidiales,Lepidopterella,Yes,Yes,1,1,0,0
Patellaria atrata CBS 101060,Patellaria_atrata_CBS_101060,Ascomycota,Dothideomycetes,Patellariales,Patellaria,Yes,Yes,1,1,0,0
Peltaster fructicola,Peltaster_fructicola,Ascomycota,Dothideomycetes,Peltaster,Peltaster,Yes,Yes,1,1,0,0
Ascochyta rabiei,Ascochyta_rabiei,Ascomycota,Dothideomycetes,Pleosporales,Ascochyta,Yes,Yes,1,1,0,0
Bipolaris oryzae ATCC 44560,Bipolaris_oryzae_ATCC_44560,Ascomycota,Dothideomycetes,Pleosporales,Bipolaris,Yes,Yes,1,1,0,0
Bipolaris sorokiniana ND90Pr,Bipolaris_sorokiniana_ND90Pr,Ascomycota,Dothideomycetes,Pleosporales,Bipolaris,Yes,Yes,1,1,0,0
Boeremia exigua,Boeremia_exigua,Ascomycota,Dothideomycetes,Pleosporales,Boeremia,Yes,Yes,1,2,0,0.693147181
Byssothecium circinans,Byssothecium_circinans,Ascomycota,Dothideomycetes,Pleosporales,Byssothecium,Yes,Yes,1,1,0,0
Clohesyomyces aquaticus,Clohesyomyces_aquaticus,Ascomycota,Dothideomycetes,Pleosporales,Clohesyomyces,Yes,Yes,1,1,0,0
Corynespora cassiicola Philippines,Corynespora_cassiicola_Philippines,Ascomycota,Dothideomycetes,Pleosporales,Corynespora,Yes,Yes,1,1,0,0
Curvularia clavata,Curvularia_clavata,Ascomycota,Dothideomycetes,Pleosporales,Curvularia,Yes,Yes,1,1,0,0
Exserohilum turcica Et28A,Exserohilum_turcica_Et28A,Ascomycota,Dothideomycetes,Pleosporales,Exserohilum,Yes,Yes,1,1,0,0
Periconia macrospinosa,Periconia_macrospinosa,Ascomycota,Dothideomycetes,Pleosporales,Periconia,Yes,Yes,1,1,0,0
Pyrenochaeta sp. DS3sAY3a,Pyrenochaeta_sp._DS3sAY3a,Ascomycota,Dothideomycetes,Pleosporales,Pyrenochaeta,Yes,Yes,1,1,0,0
Cenococcum geophilum 1.58,Cenococcum_geophilum_1.58,Ascomycota,Dothideomycetes,Unknown,Cenococcum,Yes,Yes,1,1,0,0
Coniosporium apollinis CBS 100218,Coniosporium_apollinis_CBS_100218,Ascomycota,Dothideomycetes,Unknown,Coniosporium,Yes,Yes,1,1,0,0
Glonium stellatum,Glonium_stellatum,Ascomycota,Dothideomycetes,Unknown,Glonium,Yes,Yes,1,1,0,0
Verruconis gallopava,Verruconis_gallopava,Ascomycota,Dothideomycetes,Venturiales,Verruconis,Yes,Yes,1,1,0,0
Capronia coronata CBS 617.96,Capronia_coronata_CBS_617.96,Ascomycota,Eurotiomycetes,Chaetothyriales,Capronia,Yes,Yes,1,1,0,0
Capronia epimyces CBS 606.96,Capronia_epimyces_CBS_606.96,Ascomycota,Eurotiomycetes,Chaetothyriales,Capronia,Yes,Yes,1,1,0,0
Cladophialophora psammophila CBS 110553,Cladophialophora_psammophila_CBS_110553,Ascomycota,Eurotiomycetes,Chaetothyriales,Cladophialophora,Yes,Yes,1,1,0,0
Cladophialophora yegresii CBS 114405,Cladophialophora_yegresii_CBS_114405,Ascomycota,Eurotiomycetes,Chaetothyriales,Cladophialophora,Yes,Yes,1,1,0,0
Exophiala aquamarina CBS 119918,Exophiala_aquamarina_CBS_119918,Ascomycota,Eurotiomycetes,Chaetothyriales,Exophiala,Yes,Yes,1,1,0,0
Exophiala dermatitidis NIH/UT8656,Exophiala_dermatitidis_NIH/UT8656,Ascomycota,Eurotiomycetes,Chaetothyriales,Exophiala,Yes,Yes,1,1,0,0
Exophiala oligosperma,Exophiala_oligosperma,Ascomycota,Eurotiomycetes,Chaetothyriales,Exophiala,Yes,Yes,1,1,0,0
Exophiala sideris,Exophiala_sideris,Ascomycota,Eurotiomycetes,Chaetothyriales,Exophiala,Yes,Yes,1,1,0,0
Exophiala spinifera,Exophiala_spinifera,Ascomycota,Eurotiomycetes,Chaetothyriales,Exophiala,Yes,Yes,1,1,0,0
Exophiala xenobiotica,Exophiala_xenobiotica,Ascomycota,Eurotiomycetes,Chaetothyriales,Exophiala,Yes,Yes,1,2,0,0.693147181
Fonsecaea erecta,Fonsecaea_erecta,Ascomycota,Eurotiomycetes,Chaetothyriales,Fonsecaea,Yes,Yes,1,1,0,0
Fonsecaea pedrosoi CBS 271.37,Fonsecaea_pedrosoi_CBS_271.37,Ascomycota,Eurotiomycetes,Chaetothyriales,Fonsecaea,Yes,Yes,1,1,0,0
Rhinocladiella mackenziei CBS 650.93,Rhinocladiella_mackenziei_CBS_650.93,Ascomycota,Eurotiomycetes,Chaetothyriales,Rhinocladiella,Yes,Yes,1,1,0,0
Aspergillus aculeatus ATCC 16872,Aspergillus_aculeatus_ATCC_16872,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus awamori,Aspergillus_awamori,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus brasiliensis CBS 101740,Aspergillus_brasiliensis_CBS_101740,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus brunneoviolaceus CBS 621.78,Aspergillus_brunneoviolaceus_CBS_621.78,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus campestris IBT 28561,Aspergillus_campestris_IBT_28561,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus candidus,Aspergillus_candidus,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus clavatus NRRL 1,Aspergillus_clavatus_NRRL_1,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus fischeri NRRL 181,Aspergillus_fischeri_NRRL_181,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus heteromorphus CBS 117.55,Aspergillus_heteromorphus_CBS_117.55,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus homomorphus CBS 101889,Aspergillus_homomorphus_CBS_101889,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus mulundensis,Aspergillus_mulundensis,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus novofumigatus IBT 16806,Aspergillus_novofumigatus_IBT_16806,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus ochraceoroseus IBT 24754,Aspergillus_ochraceoroseus_IBT_24754,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus oryzae RIB40,Aspergillus_oryzae_RIB40,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus phoenicis ATCC 13157,Aspergillus_phoenicis_ATCC_13157,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus saccharolyticus JOP 1030-1,Aspergillus_saccharolyticus_JOP_1030-1,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus steynii IBT 23096,Aspergillus_steynii_IBT_23096,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus taichungensis,Aspergillus_taichungensis,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus tanneri,Aspergillus_tanneri,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,2,0,0.693147181
Aspergillus terreus NIH2624,Aspergillus_terreus_NIH2624,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Aspergillus versicolor CBS 583.65,Aspergillus_versicolor_CBS_583.65,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,Yes,1,1,0,0
Monascus purpureus,Monascus_purpureus,Ascomycota,Eurotiomycetes,Eurotiales,Monascus,Yes,Yes,1,2,0,0.693147181
Penicilliopsis zonata CBS 506.65,Penicilliopsis_zonata_CBS_506.65,Ascomycota,Eurotiomycetes,Eurotiales,Penicilliopsis,Yes,Yes,1,1,0,0
Penicillium arizonense,Penicillium_arizonense,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,Yes,1,1,0,0
Penicillium capsulatum,Penicillium_capsulatum,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,Yes,1,1,0,0
Penicillium citrinum,Penicillium_citrinum,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,Yes,1,1,0,0
Penicillium coprophilum,Penicillium_coprophilum,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,Yes,1,1,0,0
Penicillium decumbens,Penicillium_decumbens,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,Yes,1,1,0,0
Penicillium expansum,Penicillium_expansum,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,Yes,1,1,0,0
Penicillium rubens Wisconsin 54-1255,Penicillium_rubens_Wisconsin_54-1255,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,Yes,1,1,0,0
Penicillium steckii,Penicillium_steckii,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,Yes,1,1,0,0
Rasamsonia emersonii CBS 393.64,Rasamsonia_emersonii_CBS_393.64,Ascomycota,Eurotiomycetes,Eurotiales,Rasamsonia,Yes,Yes,1,1,0,0
Talaromyces amestolkiae,Talaromyces_amestolkiae,Ascomycota,Eurotiomycetes,Eurotiales,Talaromyces,Yes,Yes,1,1,0,0
Talaromyces atroroseus,Talaromyces_atroroseus,Ascomycota,Eurotiomycetes,Eurotiales,Talaromyces,Yes,Yes,1,1,0,0
Talaromyces islandicus,Talaromyces_islandicus,Ascomycota,Eurotiomycetes,Eurotiales,Talaromyces,Yes,Yes,1,1,0,0
Talaromyces stipitatus ATCC 10500,Talaromyces_stipitatus_ATCC_10500,Ascomycota,Eurotiomycetes,Eurotiales,Talaromyces,Yes,Yes,1,1,0,0
Arthroderma uncinatum,Arthroderma_uncinatum,Ascomycota,Eurotiomycetes,Onygenales,Arthroderma,Yes,Yes,1,1,0,0
Emergomyces pasteurianus Ep9510,Emergomyces_pasteurianus_Ep9510,Ascomycota,Eurotiomycetes,Onygenales,Emergomyces,Yes,Yes,1,1,0,0
Emmonsia crescens UAMH 3008,Emmonsia_crescens_UAMH_3008,Ascomycota,Eurotiomycetes,Onygenales,Emmonsia,Yes,Yes,1,1,0,0
Helicocarpus griseus UAMH5409,Helicocarpus_griseus_UAMH5409,Ascomycota,Eurotiomycetes,Onygenales,Helicocarpus,Yes,Yes,1,1,0,0
Histoplasma capsulatum H143,Histoplasma_capsulatum_H143,Ascomycota,Eurotiomycetes,Onygenales,Histoplasma,Yes,Yes,1,1,0,0
