tip.label,FSA,acidPhosphatase_count,alphaGlucosidase15_count,alphaGlucosidase31_count,alphaManNAase76_count,aminoAcidPermease_count,ammoniumTransporter_count,amylase88_count,auxinResponsivePromoter_count,betaGlucanSynthase_count,betaGlucosidase1_count,betaXylosidase43_count,cellobiohydrolase6_count,cellobiohydrolase7_count,chitinase_count,chitosanase8_count,coldShockProtein_count,crystalineCellulaseAA9_count,endoglucanase12_count,endoglucanase9_count,fungalLigninPeroxidase_count,glucosidase81_count,glycopeptidase85_count,glycoproteinSynthesis92_count,heatShockProtein_count,invertase32_count,melanin_count,nitrateTransporter_count,phosphateTransporter_count,RNAHelicase_count,RNApolymerase_count,trehalase_count,extension_rate,fruiting_body_size,spore_length,spore_size,spore_width,Cohens_d_Glucose,Cohens_d_Lignin,Cohens_d_Tannin,Cohens_d_Xylan,melanin_content,sporocarp_chitin,sporocarp_N,sporocarp_protein,sporocarp_resp,tissue_c,tissue_n,tissue_p
Myriangium_duriaei,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Earliella_scabrosa,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purpureocillium_lilacinum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exophiala_sideris,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylonectria_macrodidyma,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metarhizium_anisopliae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.460593487,NA,0.894427191,NA,NA,NA,NA,NA,NA,NA,NA
Alternaria_metachromatica,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427191,0.894427191,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saitoella_complicata,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daedalea_quercina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erysiphe_necator,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuber_brumale,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auriscalpium_vulgare,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,1.7,NA
Gymnopilus_junonius,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3,4.1,NA
Mycena_maculata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,4.51,0.64
Abortiporus_biennis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.41
Lentinus_tigrinus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.33
Cerioporus_squamosus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.34
Pleurotus_djamor,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.76
Ophiocordyceps_sinensis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,1.17
Eremothecium_gossypii,0,1,0,1,5,9,2,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,1,0,6,1,0,0,0,17,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuber_melanosporum,1,5,1,5,0,1,2,0,0,1,3,1,0,0,4,0,0,2,1,0,0,2,1,1,3,1,4,1,1,15,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizophagus_irregularis,0,7,1,2,0,0,3,0,0,1,4,0,0,0,1,0,6,0,0,4,0,0,0,0,13,0,5,1,2,27,35,1,NA,NA,160,410501.4401,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neurospora_tetrasperma,0,9,2,5,9,3,3,1,0,1,4,5,3,5,10,0,0,14,1,0,0,1,0,2,3,1,7,1,1,19,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordyceps_militaris,0,9,2,4,10,2,2,0,0,1,2,1,0,0,20,0,0,1,1,0,0,1,0,4,2,1,7,1,3,17,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.87
Oidiodendron_maius,1,10,4,13,13,3,5,8,0,2,17,14,2,8,27,0,0,8,8,0,0,2,0,9,5,4,7,1,2,19,25,1,NA,NA,NA,NA,NA,-0.201017924,-1.177510339,-0.447213596,-1.177510339,NA,NA,NA,NA,NA,NA,NA,NA
Serendipita_vermifera,1,11,2,4,0,0,2,4,0,1,2,3,2,5,4,0,0,32,1,1,0,2,0,0,7,1,16,1,3,21,26,4,NA,NA,NA,NA,NA,-0.64823152,-0.134011949,-0.486864496,0.182574186,NA,NA,NA,NA,NA,NA,NA,NA
Phaeoacremonium_minimum,1,11,3,11,9,2,6,1,0,1,5,6,3,6,9,0,0,13,2,1,2,2,0,2,2,2,9,1,3,19,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fomes_fomentarius,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1.423333333,NA
Ilyonectria_robusta,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.804071696,0.26463941,-2.19089023,-0.365148372,NA,NA,NA,NA,NA,NA,NA,NA
Penicillium_solitum,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427191,NA,0.894427191,NA,NA,NA,NA,NA,NA,NA,NA
Hymenopellis_radicata,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,14,17,44,NA,0.35
Lactarius_deliciosus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,27,9,44.3,3.856,0.544
Russula_ochroleuca,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7225,9,265.0718801,7.5,NA,NA,NA,NA,NA,NA,3.6,47,7,44,NA,0.26
Suillus_bovinus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,3.7,0.62
Gigaspora_margarita,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,5575279.763,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armillaria_borealis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4225,8,104.7197551,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,2.8,NA
Agaricus_bisporus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12625,9,213.823341,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.86666667,3.34,0.39
Gymnopus_androsaceus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,7.8,75.51446261,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.65
Mycena_epipterygia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,9,199.0984344,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,2.74,0.81
Marasmius_oreades,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,9.5,124.3547092,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.765
Tricholoma_matsutake,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.295
Pleurotus_eryngii,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.625
Pleurotus_cornucopiae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.515
Pleurotus_pulmonarius,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,1.28
Mycena_rosella,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,8,96.50972632,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1,5.1,NA
Ogataea_polymorpha,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.4,5.725,NA
Bipolaris_sorokiniana,0,12,2,9,7,1,4,5,0,1,5,14,2,7,18,0,0,23,3,0,4,2,1,4,5,5,12,1,3,19,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.915,NA,NA,NA,NA,NA,NA,NA
Paecilomyces_variotii,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.6,NA,NA,NA,NA,NA,NA,NA
Stereum_hirsutum,1,16,3,8,4,0,2,5,0,2,5,10,1,3,13,0,0,16,5,1,6,2,1,6,5,1,8,1,0,16,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.4320114,NA,NA,NA,NA,NA,NA,NA
Fomitiporia_mediterranea,1,12,1,5,0,0,2,6,0,2,5,7,1,2,12,0,0,13,3,1,17,0,1,4,7,0,2,0,0,18,28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.9574715,NA,NA,NA,NA,NA,NA,NA
Pneumocystis_jirovecii,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,17,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rozella_allomycis,0,2,0,2,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,5,0,5,0,0,26,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Torulaspora_delbrueckii,0,5,1,1,2,9,2,0,0,2,1,0,0,0,2,0,0,0,0,0,0,2,0,0,2,2,0,0,1,18,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tilletiaria_anomala,1,6,2,2,0,0,2,1,0,0,1,1,0,0,5,1,0,0,0,1,0,0,1,0,2,2,0,0,1,16,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichophyton_verrucosum,1,7,1,2,3,2,1,0,0,1,1,1,0,0,13,0,0,0,0,0,0,1,0,2,1,0,1,0,2,22,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coprinopsis_cinerea,1,7,4,4,0,0,4,6,0,2,3,4,4,6,9,0,0,33,1,1,1,0,2,3,8,0,20,1,3,21,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conidiobolus_coronatus,0,7,1,4,0,0,1,0,0,2,6,0,0,0,20,0,0,0,0,1,0,1,0,0,15,0,49,0,2,20,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microsporum_canis,1,8,1,2,3,3,1,0,0,1,3,1,0,0,20,0,0,0,0,0,0,1,0,2,1,0,1,0,1,20,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichophyton_rubrum,0,8,1,2,3,3,1,0,0,1,2,1,0,0,13,0,0,0,0,0,0,1,0,2,1,0,1,0,2,21,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paracoccidioides_brasiliensis,0,8,1,2,5,2,1,0,0,1,4,1,0,0,4,0,0,0,0,0,0,1,0,2,1,0,6,1,1,18,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malassezia_globosa,1,8,0,2,0,0,1,1,0,2,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coccidioides_immitis,1,9,1,2,3,3,2,0,0,1,2,1,0,0,8,0,0,0,0,1,0,1,0,1,2,0,3,0,1,22,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histoplasma_capsulatum,0,9,1,3,3,1,1,0,0,1,3,2,0,0,7,0,0,0,0,0,0,1,0,1,2,0,8,0,1,16,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penicillium_digitatum,0,9,2,6,6,2,2,1,0,1,5,3,1,2,7,0,0,1,2,0,0,1,0,4,3,3,1,0,1,20,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verticillium_dahliae,1,9,4,9,8,1,3,6,0,1,8,18,2,6,18,0,0,24,6,0,2,2,0,3,2,3,6,1,7,15,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beauveria_bassiana,0,11,2,6,8,2,2,1,0,1,1,2,0,0,18,0,0,1,1,0,0,1,0,4,3,1,8,1,3,21,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penicillium_oxalicum,0,12,3,6,8,3,2,1,0,1,6,13,1,3,14,0,0,4,3,0,0,1,0,4,4,2,3,1,3,20,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyrenophora_teres,0,12,2,8,6,0,4,4,0,1,4,13,1,3,10,0,0,24,2,0,3,2,1,6,2,3,11,1,2,19,28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bipolaris_oryzae,1,12,2,10,8,1,4,5,0,1,5,14,2,7,14,0,0,24,3,0,5,2,1,5,3,3,12,1,3,18,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bipolaris_zeicola,0,13,2,10,8,1,4,5,0,1,5,16,2,7,14,0,0,23,3,0,5,2,1,4,3,3,12,1,3,18,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bipolaris_victoriae,0,13,2,10,8,1,4,4,0,1,5,17,2,7,16,0,0,23,3,0,5,2,1,5,3,3,14,1,3,18,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metarhizium_robertsii,0,14,2,6,14,1,2,4,0,1,3,1,0,0,26,0,1,1,1,0,1,1,0,5,4,1,8,0,4,20,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clavispora_lusitaniae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pneumocystis_carinii,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratocystis_fimbriata,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichoglossum_hirsutum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Venturia_inaequalis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichothecium_roseum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exophiala_xenobiotica,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blastomyces_dermatitidis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427191,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talaromyces_pinophilus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichoderma_asperellum,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clonostachys_rosea,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.894427191,0,-0.894427191,0,NA,NA,NA,NA,NA,NA,NA,NA
Phycomyces_blakesleeanus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spiromyces_aspiralis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grifola_frondosa,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.59
Exophiala_spinifera,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epicoccum_nigrum,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetomium_globosum,0,8,2,6,10,1,2,1,0,1,2,15,3,8,17,0,0,36,4,0,0,1,0,2,3,3,15,0,2,17,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,2.5,NA
Neurospora_crassa,0,10,2,6,9,2,3,2,0,1,5,5,3,5,9,0,0,14,2,0,0,1,0,2,3,1,9,1,2,18,28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyrenophora_tritici-repentis,1,10,0,8,6,1,4,4,0,1,5,12,1,3,9,0,0,15,2,0,4,2,1,0,2,3,12,1,2,0,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichoderma_virens,0,11,2,5,8,2,2,5,0,1,4,3,1,2,30,0,0,3,4,0,0,2,0,7,6,1,4,0,1,19,27,2,11.6,NA,NA,NA,NA,0.894427191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
