"","speciesMatched","Phylum","FDA","ascus_dehiscence","auxinResponsivePromoter_count","growth_form_fg","spore_length","spore_width","trophic_mode_fg"
"69","Grifola frondosa","Basidiomycota","No",NA,NA,"NULL",NA,NA,"Pathotroph-Saprotroph"
"70","Grosmannia clavigera","Ascomycota","No",NA,0,NA,NA,NA,NA
"71","Gymnopus androsaceus","Basidiomycota","Yes",NA,NA,NA,7.8,4.3,NA
"72","Hebeloma cylindrosporum","Basidiomycota","Yes",NA,2,NA,NA,NA,NA
"73","Hydnomerulius pinastri","Basidiomycota","No",NA,14,NA,NA,NA,NA
"74","Jaapia argillacea","Basidiomycota","Yes",NA,0,NA,NA,NA,NA
"75","Laccaria amethystina","Basidiomycota","No",NA,NA,NA,9,8.8,NA
"76","Laccaria amethystina","Basidiomycota","No",NA,6.00000000000001,NA,NA,NA,NA
"77","Laccaria bicolor","Basidiomycota","Yes",NA,NA,NA,8.3,7.3,NA
"78","Laccaria bicolor","Basidiomycota","Yes",NA,5,NA,NA,NA,NA
"79","Lasallia pustulata","Ascomycota","Yes","Rostrate",NA,NA,NA,NA,NA
"80","Lichtheimia corymbifera","Mucoromycota","Yes",NA,NA,"NULL",NA,NA,"Pathotroph-Saprotroph"
"81","Macrophomina phaseolina","Ascomycota","No",NA,0,"Microfungus",NA,NA,"Pathotroph-Symbiotroph"
"82","Malassezia sympodialis","Basidiomycota","Yes",NA,0,"NULL",NA,NA,"Pathotroph"
"83","Metarhizium acridum","Ascomycota","No",NA,0,NA,NA,NA,NA
"84","Metarhizium robertsii","Ascomycota","No",NA,0,"NULL",NA,NA,"Symbiotroph"
"85","Microdochium bolleyi","Ascomycota","No",NA,NA,"NULL",NA,NA,"Pathotroph"
"86","Mixia osmundae","Basidiomycota","Yes",NA,0,"Facultative Yeast",NA,NA,"Saprotroph"
"87","Monilinia laxa","Ascomycota","No","Poricidal",NA,"Microfungus",NA,NA,"Pathotroph"
"88","Moniliophthora perniciosa","Basidiomycota","No",NA,0,"Agaricoid",NA,NA,"Pathotroph"
"89","Neurospora crassa","Ascomycota","No",NA,NA,"NULL",NA,NA,"Pathotroph-Saprotroph"
"90","Neurospora crassa","Ascomycota","No","Poricidal",NA,"NULL",NA,NA,"Pathotroph-Saprotroph"
"91","Neurospora crassa","Ascomycota","No",NA,0,"NULL",NA,NA,"Pathotroph-Saprotroph"
"92","Neurospora tetrasperma","Ascomycota","No",NA,0,NA,NA,NA,NA
"93","Oidiodendron maius","Ascomycota","No",NA,0,NA,NA,NA,NA
"94","Paxillus involutus","Basidiomycota","No",NA,NA,"Agaricoid",NA,NA,"Symbiotroph"
"95","Paxillus involutus","Basidiomycota","No",NA,NA,"Agaricoid",9,5.8,"Symbiotroph"
"96","Paxillus involutus","Basidiomycota","No",NA,27,"Agaricoid",NA,NA,"Symbiotroph"
"97","Paxillus rubicundulus","Basidiomycota","Yes",NA,9,NA,NA,NA,NA
"98","Penicillium chrysogenum","Ascomycota","No",NA,0,"Facultative Yeast",NA,NA,"Pathotroph"
"99","Penicillium chrysogenum","Ascomycota","No",NA,NA,"Facultative Yeast",NA,NA,"Pathotroph"
"100","Penicillium oxalicum","Ascomycota","No",NA,0,"NULL",NA,NA,"Pathotroph"
"101","Phaeoacremonium minimum","Ascomycota","No","Poricidal",NA,NA,NA,NA,NA
"102","Phaeoacremonium minimum","Ascomycota","No",NA,0,NA,NA,NA,NA
"103","Phaeosphaeria nodorum","Ascomycota","No","Fissitunicate",NA,"NULL",NA,NA,"Pathotroph"
"104","Phanerochaete carnosa","Basidiomycota","Yes",NA,0,NA,NA,NA,NA
"105","Phlebiopsis gigantea","Basidiomycota","Yes",NA,0,NA,NA,NA,NA
"106","Phycomyces blakesleeanus","Mucoromycota","Yes",NA,NA,"NULL",NA,NA,"Saprotroph"
"107","Pisolithus microcarpus","Basidiomycota","No",NA,19,NA,NA,NA,NA
"108","Pleomassaria siparia","Ascomycota","Yes","Fissitunicate",NA,NA,NA,NA,NA
"109","Pleurotus ostreatus","Basidiomycota","No",NA,NA,"Agaricoid",NA,NA,"Pathotroph-Saprotroph"
