"","Organism","n_prot"
"1926","Anthostomella sp. SMH3101",1
"1927","Anthostomelloides krabiensis",1
"1928","Anthosulcatispora subglobosa",2
"1929","Anthracina ramosa",6
"1930","Anthracina saxicola",2
"1931","Anthracobia macrocystis",2
"1932","Anthracobia sp. TL-11709",3
"1933","Anthracocystis anthracoideispora",2
"1934","Anthracocystis bothriochloae",1
"1935","Anthracocystis caledonica",3
"1936","Anthracocystis cenchri-elymoidis",3
"1937","Anthracocystis cymbopogonis-bombycini",2
"1938","Anthracocystis gayana",1
"1939","Anthracocystis heteropogonicola",4
"1940","Anthracocystis mutabilis",1
"1941","Anthracocystis pampara",3
"1942","Anthracocystis pseudanthistiriae",1
"1943","Anthracocystis sehimatis",1
"1944","Anthracocystis setariae",3
"1945","Anthracocystis trispicatae",1
"1946","Anthracocystis walkeri",15
"1947","Anthracocystis whiteochloae",3
"1948","Anthracocystis xerofasciculata",1
"1949","Anthracophyllum archeri",2
"1950","Anthracophyllum sp. BCC18695",1
"1951","Anthracoporus cf. nigropurpureus",4
"1952","Anthracoporus cf. nigropurpureus Sato-2017",152
"1953","Anthracoporus holophaeus",5
"1954","Anthracoporus nigropurpureus",3
"1955","Anthracothecium nanum",1
"1956","Antonospora locustae (Microsporidian parasite) (Nosema locustae)",168
"1957","Antrodia aff. malicola 1 JV-2016",3
"1958","Antrodia aff. malicola 2 JV-2016",1
"1959","Antrodia albida",1
"1960","Antrodia albobrunnea",1
"1961","Antrodia bambusicola",4
"1962","Antrodia cf. griseoflavescens",1
"1963","Antrodia favescens",5
"1964","Antrodia ferox",2
"1965","Antrodia griseoflavescens",1
"1966","Antrodia heteromorpha",11
"1967","Antrodia hyalina",1
"1968","Antrodia macra",4
"1969","Antrodia mappa",2
"1970","Antrodia mellita",1
"1971","Antrodia multiformis",1
"1972","Antrodia neotropica",2
"1973","Antrodia pini-cubensis",1
"1974","Antrodia ramentacea",7
"1975","Antrodia serpens",6
"1976","Antrodia sitchensis",1
"1977","Antrodia subheteromorpha",4
"1978","Antrodia subserpens",4
"1979","Antrodia tanakae",7
"1980","Antrodia tenerifensis",1
"1981","Antrodia tuvensis",1
"1982","Antrodiella afrocitrina",1
"1983","Antrodiella brasiliensis",1
"1984","Antrodiella citrinella",8912
"1985","Antrodiella faginea",10
"1986","Antrodiella foliaceodentata",1
"1987","Antrodiella pallasii",8
"1988","Antrodiella pallescens",1
"1989","Antrodiella sp. MCW-2019",2
"1990","Antrodiella stipitata",1
"1991","Antrodiopsis oleracea",1
"1992","Anupama indica",2
"1993","Aotearoamyces nothofagi",1
"1994","Apenidiella strumelloidea",1
"1995","Aphanoascus cinnabarinus",6
"1996","Aphanoascus foetidus",1
"1997","Aphanoascus fulvescens",3
"1998","Aphanoascus reticulisporus",1
"1999","Aphanoascus verrucosus",1
"2000","Aphanobasidium pseudotsugae",2
"2001","Aphanocladium album (Wheat rust fungus) (Acremonium album)",2
"2002","Aphanophora eugeniae",2
"2003","Apiculospora spartii",2
"2004","Apiognomonia acerina",1
"2005","Apiognomonia errabunda (Oak anthracnose fungus) (Discula umbrinella)",18
"2006","Apiognomonia hystrix",6
"2007","Apiognomonia pseudohystrix",2
"2008","Apiognomonia sp. AR3819",1
"2009","Apiognomonia sp. CBS 192.92",1
"2010","Apiognomonia veneta",6
"2011","Apioperdon pyriforme",4
"2012","Apioplagiostoma aceriferum",3
"2013","Apiorhynchostoma curreyi",1
"2014","Apiosordaria backusii",10
"2015","Apiosordaria jamaicensis",2
"2016","Apiosordaria longicaudata",2
"2017","Apiosordaria microcarpa",2
"2018","Apiosordaria tenuilacunata",2
"2019","Apiosordaria tetraspora",2
"2020","Apiosphaeria guaranitica",9
"2021","Apiospora aquatica",1
"2022","Apiospora arundinis",47
"2023","Apiospora aurea",4
"2024","Apiospora balearica",2
"2025","Apiospora bambusae",1
"2026","Apiospora bambusicola",1
"2027","Apiospora biserialis",2
"2028","Apiospora camelliae-sinensis",3
"2029","Apiospora chromolaenae",1
"2030","Apiospora cyclobalanopsidis",2
"2031","Apiospora descalsii",2
"2032","Apiospora dichotomanthi",2
"2033","Apiospora esporlensis",4
"2034","Apiospora garethjonesii",1
"2035","Apiospora guizhouensis",3
"2036","Apiospora hispanica",1
"2037","Apiospora hydei",5
"2038","Apiospora hysterina",6
"2039","Apiospora iberica",2
"2040","Apiospora intestini",2
"2041","Apiospora italica",4
"2042","Apiospora jiangxiensis",10
"2043","Apiospora kogelbergensis",9
"2044","Apiospora locuta-pollinis",2
"2045","Apiospora malaysiana",5
"2046","Apiospora marii",23
"2047","Apiospora mediterranea",1
"2048","Apiospora neobambusae",6
"2049","Apiospora neosubglobosa",2
"2050","Apiospora obovata",2
"2051","Apiospora ovata",2
"2052","Apiospora paraphaeosperma",6
"2053","Apiospora phragmitis",8
"2054","Apiospora phyllostachydis",2
"2055","Apiospora piptatheri",1
"2056","Apiospora pseudoparenchymatica",7
"2057","Apiospora pseudosinensis",2
"2058","Apiospora pseudospegazzinii",2
"2059","Apiospora pterosperma",3
"2060","Apiospora rasikravindrae",15
"2061","Apiospora saccharicola",7
"2062","Apiospora septata",2
"2063","Apiospora serenensis",2
"2064","Apiospora setosa",2
"2065","Apiospora setostroma",1
"2066","Apiospora subrosea",3
"2067","Apiospora thailandica",2
"2068","Apiospora tintinnabula",1
"2069","Apiospora vietnamensis",1
"2070","Apiospora xenocordella",4
"2071","Apiospora yunnana",5
"2072","Apiosporina collinsii",2
"2073","Apiotrichum brassicae",7
"2074","Apiotrichum dehoogii",3
"2075","Apiotrichum domesticum",7
"2076","Apiotrichum dulcitum",8
"2077","Apiotrichum gamsii",3
"2078","Apiotrichum gracile",10
"2079","Apiotrichum laibachii",7
"2080","Apiotrichum lignicola",4
"2081","Apiotrichum loubieri",8
"2082","Apiotrichum montevideense",7
"2083","Apiotrichum mycotoxinovorans",3
"2084","Apiotrichum porosum",8817
"2085","Apiotrichum scarabaeorum",10
"2086","Apiotrichum sporotrichoides",7
"2087","Apiotrichum vadense",7
"2088","Apiotrichum veenhuisii",7
"2089","Apiotrichum wieringae",5
"2090","Aplosporella artocarpi",1
"2091","Aplosporella ginkgonis",1
"2092","Aplosporella hesperidica",3
"2093","Aplosporella javeedii",6
"2094","Aplosporella longipes",1
"2095","Aplosporella macropycnidia",1
"2096","Aplosporella prunicola",1
"2097","Aplosporella prunicola CBS 121167",12153
"2098","Aplosporella sp",1
"2099","Aplosporella thailandica",1
"2100","Apodospora gotlandica",1
"2101","Apodospora simulans",2
"2102","Apoharknessia eucalypti",2
"2103","Apoharknessia eucalyptorum",4
"2104","Apoharknessia insueta",4
"2105","Apophysomyces elegans",4
"2106","Apophysomyces mexicanus",1
"2107","Apophysomyces ossiformis",2
"2108","Apophysomyces trapeziformis",4
"2109","Apophysomyces variabilis",5
"2110","Aposphaeria corallinolutea",4
"2111","Apseudocercosporella trigonotidis",4
"2112","Aquadictyospora clematidis",2
"2113","Aquadictyospora lignicola",1
"2114","Aquafiliformis lignicola",4
"2115","Aquamyces chlorogonii",1
"2116","Aquanectria devians",3
"2117","Aquanectria filiformis",3
"2118","Aquanectria jacinthicolor",3
"2119","Aquanectria penicillioides",8
"2120","Aquanectria submersa",6
"2121","Aquanectria tenuispora",5
"2122","Aquanectria tenuissima",3
"2123","Aquaphila albicans",5
"2124","Aquapteridospora bambusinum",1
"2125","Aquapteridospora fusiformis",1
"2126","Aquastroma magniostiolatum",2
"2127","Aquasubmersa japonica",2
"2128","Aquatospora cylindrica",2
"2129","Aquihelicascus songkhlaensis",5
"2130","Aquihelicascus yunnanensis",1
"2131","Aquilomyces patris",4
"2132","Aquilomyces rebunensis",1
"2133","Aquimassariosphaeria kunmingensis",2
"2134","Aquimonospora tratensis",1
"2135","Arachniotus desertorum",2
"2136","Arachniotus ruber",2
"2137","Arachnocrea scabrida",1
"2138","Arachnomyces nodosetosus",2
"2139","Arachnopeziza araneosa",2
"2140","Arachnopeziza aurata",5
"2141","Arachnopeziza aurelia",1
"2142","Arachnopeziza delicatula",16
"2143","Arachnopeziza estonica",12
"2144","Arachnopeziza japonica",9
"2145","Arachnopeziza leonina",9
"2146","Arachnopeziza obtusipila",2
"2147","Arachnopeziza ptilidiophila",7
"2148","Arachnopeziza sp. A TK-2020",6
"2149","Arachnopeziza sp. B TK-2020",2
"2150","Arachnopeziza sp. C TK-2020",2
"2151","Arachnopeziza sphagniseda",4
"2152","Arachnopeziza trabinelloides",3
"2153","Arachnoscypha aranea",6
"2154","Arambarria destruens",5
"2155","Archaeorhizomyces borealis",5
"2156","Archaeorhizomyces finlayi",3
"2157","Archaeospora trappei",3
"2158","Arcopilus amazonicus",3
"2159","Arcopilus aureus",9
"2160","Arcopilus cupreus",9
"2161","Arcopilus flavigenus",2
"2162","Arcopilus fusiformis",2
"2163","Arcopilus globulus",1
"2164","Arcopilus sp",4
"2165","Arcopilus sp. 1 DW-2019",1
"2166","Arcopilus sp. 1 MR-2019",1
"2167","Arcopilus sp. 2 DW-2019",1
"2168","Arcopilus sp. 2 MR-2019",1
"2169","Arcopilus sp. 3 DW-2019",1
"2170","Arcopilus sp. 3 MR-2019",1
"2171","Arcopilus tangerinicapillus",2
"2172","Arcopilus turgidopilosus",2
"2173","Arcticomyces warmingii",2
"2174","Arctocetraria andrejevii",1
"2175","Arctocetraria nigricascens",2
"2176","Arctomia delicatula",2
"2177","Arctomia teretiuscula",2
"2178","Arctoparmelia centrifuga",3
"2179","Arctoparmelia incurva",3
"2180","Arctoparmelia separata",1
"2181","Areotheca areolata",2
"2182","Arkaya lepida",3
"2183","Armillaria aff. borealis 1",4
"2184","Armillaria aff. borealis 2",2
"2185","Armillaria altimontana",4
"2186","Armillaria aotearoa",1
"2187","Armillaria borealis",67
"2188","Armillaria calvescens",12
"2189","Armillaria camerunensis",1
"2190","Armillaria cepistipes",33
"2191","Armillaria cf. gallica",2
"2192","Armillaria fumosa",1
"2193","Armillaria fuscipes",5
"2194","Armillaria gallica (Bulbous honey fungus) (Armillaria bulbosa)",25337
"2195","Armillaria gemina",7
"2196","Armillaria heimii",6
"2197","Armillaria hinnulea",5
"2198","Armillaria limonea",4
"2199","Armillaria luteobubalina",6
"2200","Armillaria mellea (Honey mushroom) (Agaricus melleus)",168
"2201","Armillaria mexicana",2
"2202","Armillaria nabsnona",16
"2203","Armillaria novae-zelandiae",6
"2204","Armillaria ostoyae (Armillaria root rot fungus)",21642
"2205","Armillaria pallidula",5
"2206","Armillaria puiggarii",4
"2207","Armillaria sinapina",63
"2208","Armillaria solidipes",20453
"2209","Armillaria sp",15
"2210","Armillaria sp. 00-13",1
"2211","Armillaria sp. 00-14",1
"2212","Armillaria sp. 1 TG-2016",6
"2213","Armillaria sp. 10 TG-2016",5
"2214","Armillaria sp. 2 TG-2016",4
"2215","Armillaria sp. 2005-893",1
"2216","Armillaria sp. 3 TG-2016",10
"2217","Armillaria sp. 4 TG-2016",2
"2218","Armillaria sp. 5 TG-2016",8
"2219","Armillaria sp. 6 TG-2016",3
"2220","Armillaria sp. 7 TG-2016",2
"2221","Armillaria sp. 8 TG-2016",5
"2222","Armillaria sp. 9 TG-2016",3
"2223","Armillaria sp. BSP III",7
"2224","Armillaria sp. BSP X",4
"2225","Armillaria sp. C MPAC-2014",2
"2226","Armillaria sp. CMW 10115",1
"2227","Armillaria sp. CMW 10581",1
"2228","Armillaria sp. CMW 4455",1
"2229","Armillaria sp. CMW 4456",1
"2230","Armillaria sp. CMW 4994",1
"2231","Armillaria sp. CMW 5597",1
"2232","Armillaria sp. CMW 9954",1
"2233","Armillaria sp. CMW31153",1
"2234","Armillaria sp. F MPAC-2014",4
"2235","Armillaria sp. G MPAC-2014",3
"2236","Armillaria sp. H MPAC-2014",1
"2237","Armillaria sp. HKAS86549",2
"2238","Armillaria sp. HKAS86550",2
"2239","Armillaria sp. J MPAC-2014",2
"2240","Armillaria sp. L MPAC-2014",1
"2241","Armillaria sp. Modo007",1
"2242","Armillaria sp. N MPAC-2014",2
"2243","Armillaria sp. Nag.E",1
"2244","Armillaria sp. O MPAC-2014",1
"2245","Armillaria sp. PO86-58",3
"2246","Armillaria sp. PO86.40",4
"2247","Armillaria sp. PO87-57",3
"2248","Armillaria sp. Qp F FG",1
"2249","Armillaria sp. RDER-2012",1
"2250","Armillaria sp. specimenA",1
"2251","Armillaria sparrei",1
"2252","Armillaria tabescens (Ringless honey mushroom) (Agaricus tabescens)",29
"2253","Armillaria xiaocaobaensis",1
"2254","Arnium cirriferum",1
"2255","Arnium hirtum",2
"2256","Arnium japonense",1
"2257","Arnium mendax",2
"2258","Arnium sp. FMR 13412",2
"2259","Arnium sudermanniae",1
"2260","Aroramyces gelatinosporus",1
"2261","Aroramyces radiatus",1
"2262","Aroramyces sp. OSC122590",1
"2263","Aroramyces sp. OSC122858",1
"2264","Aroramyces sp. SM10030",1
"2265","Aroramyces sp. T15013",1
"2266","Aroramyces sp. T9930",1
"2267","Arrhenia auriscalpium",1
"2268","Arthonia apatetica",1
"2269","Arthonia apotheciorum",1
"2270","Arthonia biatoricola",1
"2271","Arthonia calcarea",3
"2272","Arthonia cf. rubrocincta Perlmutter GBP 0182",2
"2273","Arthonia coreana",1
"2274","Arthonia cupressina",7
"2275","Arthonia didyma",1
"2276","Arthonia incarnata",3
"2277","Arthonia kermesina",8
"2278","Arthonia lapidicola",1
"2279","Arthonia maculiformis",1
"2280","Arthonia mediella",2
"2281","Arthonia molendoi",1
"2282","Arthonia neglectula",1
"2283","Arthonia parietinaria",1
"2284","Arthonia peltigerina",1
"2285","Arthonia phaeophysciae",2
"2286","Arthonia punctiformis",1
"2287","Arthonia quintaria",12
"2288","Arthonia radiata",5
"2289","Arthonia rubella",8
"2290","Arthonia sp. 'granithophila'",1
"2291","Arthonia sp. 'lobariicola'",2
"2292","Arthonia sp. Ertz 7775",1
"2293","Arthonia sp. Ertz 9090",1
"2294","Arthonia sp. Se2",1
"2295","Arthonia sp. Se3",1
"2296","Arthonia sp. Ug10",1
"2297","Arthonia sp. Ug15",1
"2298","Arthonia sp. Ug9",1
"2299","Arthonia subfuscicola",2
"2300","Arthonia susa",15
"2301","Arthonia ulleungdoensis",1
"2302","Arthonia zelkovae",1
"2303","Arthopyrenia fallaciosa",1
"2304","Arthopyrenia salicis",4
"2305","Arthopyrenia sp. CBMAI 1330",1
"2306","Arthothelium galapagoense",2
"2307","Arthothelium norvegicum",1
"2308","Arthothelium ruanum",12
"2309","Arthothelium sp. Gy10",1
"2310","Arthothelium sp. Gy8",1
"2311","Arthothelium sp. Tehler 9330",1
"2312","Arthothelium spectabile",1
"2313","Arthrinium caricicola",4
"2314","Arthrinium curvatum var. minus",2
"2315","Arthrinium euphorbiae",1
"2316","Arthrinium gelatinosum",2
"2317","Arthrinium japonicum",1
"2318","Arthrinium phaeospermum (Gymnosporium phaeospermum)",14
"2319","Arthrinium puccinioides",5
"2320","Arthrinium sacchari (Coniosporium sacchari)",14
"2321","Arthrinium sorghi",1
"2322","Arthrinium sp",38
"2323","Arthrinium sp. ATCC 24358",1
"2324","Arthrinium sp. GM-2003",1
"2325","Arthrinium sp. HKU41",2
"2326","Arthrinium sp. IMI 326879",1
"2327","Arthrinium sp. KUC21220",1
"2328","Arthrinium sp. KUC21228",1
"2329","Arthrinium sp. KUC21232",1
"2330","Arthrinium sp. TC-2020a",3
"2331","Arthrinium sporophleum",2
"2332","Arthrinium urticae",1
"2333","Arthrobotrys conoides",3
"2334","Arthrobotrys dactyloides (Nematode-trapping fungus)",5
"2335","Arthrobotrys elegans",1
"2336","Arthrobotrys entomopaga",3
"2337","Arthrobotrys eudermata",1
"2338","Arthrobotrys flagrans",9927
"2339","Arthrobotrys gephyropaga",3
"2340","Arthrobotrys indica",1
"2341","Arthrobotrys janus",2
"2342","Arthrobotrys megalospora",1
"2343","Arthrobotrys microscaphoides",3
"2344","Arthrobotrys multisecundaria",2
"2345","Arthrobotrys musiformis",143
"2346","Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491) (Nematode-trapping fungus) (Didymozoophaga oligospora)",10989
"2347","Arthrobotrys oviformis",1
"2348","Arthrobotrys pseudoclavata",2
"2349","Arthrobotrys psychrophilus",1
"2350","Arthrobotrys pyriformis",1
"2351","Arthrobotrys rutgeriensis",1
"2352","Arthrobotrys sinensis",1
"2353","Arthrobotrys sp",4
"2354","Arthrobotrys sp. YMF1.00547",1
"2355","Arthrobotrys sp. YMF1.01425",1
"2356","Arthrobotrys sphaeroides",1
"2357","Arthrobotrys superba",1
"2358","Arthrobotrys thaumasia",1
"2359","Arthrobotrys xiangyunensis",1
"2360","Arthrobotrys yunnanensis",1
"2361","Arthrocatena tenebrio",1
"2362","Arthrocladium caudatum",2
"2363","Arthrocladium fulminans",16
"2364","Arthrocladium tardum",4
"2365","Arthrocladium tropicale",4
"2366","Arthroderma amazonicum",3
"2367","Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)",7692
"2368","Arthroderma benhamiae (Trichophyton mentagrophytes)",110
"2369","Arthroderma borellii",2
"2370","Arthroderma chiloniense",1
"2371","Arthroderma chinense",4
"2372","Arthroderma ciferrii",8
"2373","Arthroderma cuniculi",4
"2374","Arthroderma curreyi",4
"2375","Arthroderma eboreum",5
"2376","Arthroderma flavescens",4
"2377","Arthroderma gertleri",2
"2378","Arthroderma gloriae",2
"2379","Arthroderma gypseum (Microsporum gypseum)",63
"2380","Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893) (Microsporum gypseum)",8604
"2381","Arthroderma insingulare",3
"2382","Arthroderma lenticulare",3
"2383","Arthroderma melis",5
"2384","Arthroderma multifidum",3
"2385","Arthroderma onychocola",6
"2386","Arthroderma otae (Microsporum canis)",84
"2387","Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)",8454
"2388","Arthroderma pannicola",5
"2389","Arthroderma phaseoliforme",1
"2390","Arthroderma quadrifidum",5
"2391","Arthroderma redellii",4
"2392","Arthroderma terrestre",9
"2393","Arthroderma thuringiense",9
"2394","Arthroderma tuberculatum",4
"2395","Arthroderma uncinatum",31
"2396","Arthrographis arxii",1
"2397","Arthrographis chlamydospora",1
"2398","Arthrographis curvata",2
"2399","Arthrographis globosa",1
"2400","Arthrographis grakistii",10
"2401","Arthrographis kalrae",11
"2402","Arthrographis longispora",2
"2403","Arthromyces ramosus",1
"2404","Arthrophaga myriapodina",1
"2405","Arthrorhaphis citrinella",3
"2406","Arthrosporium sp. 'hyalospora'",1
"2407","Articulospora tetracladia",8
"2408","Artomyces adrienneae",1
"2409","Arxiella dolichandrae",2
"2410","Arxotrichum deceptivum",2
"2411","Arxotrichum officinarum",2
"2412","Arxotrichum piluliferoides",2
"2413","Arxotrichum repens",2
"2414","Arxotrichum sinense",2
"2415","Arxotrichum sp. XWW-2019b",2
"2416","Arxotrichum succineum",2
"2417","Ascagilis bipolaris",1
"2418","Aschersonia andropogonis",25
"2419","Aschersonia blumenaviensis",2
"2420","Aschersonia calendulina",4
"2421","Aschersonia cf. badia BCC 7016",3
"2422","Aschersonia cf. badia BCC 8111",3
"2423","Aschersonia cf. badia BCC 8407",3
"2424","Aschersonia cf. paraphysata BCC 1467",1
"2425","Aschersonia coffeae",1
"2426","Aschersonia confluens",7
"2427","Aschersonia cubensis",4
"2428","Aschersonia goldiana",1
"2429","Aschersonia hypocreoidea",4
"2430","Aschersonia incrassata",6
"2431","Aschersonia insperata",3
"2432","Aschersonia marginata",5
"2433","Aschersonia minutispora",2
"2434","Aschersonia napoleonae",2
"2435","Aschersonia narathiwatensis",1
"2436","Aschersonia paraphysata",6
"2437","Aschersonia sp. 1209",1
"2438","Aschersonia sp. ARSEF 7511",1
"2439","Aschersonia sp. BCC 1487",2
"2440","Aschersonia sp. BCC49495",1
"2441","Aschersonia sp. GXSW2012-03",2
"2442","Aschersonia sp. HNBW2012-08",2
"2443","Aschersonia sp. HNXL2012-01-2",2
"2444","Aschersonia sp. HNXL2012-03",1
"2445","Aschersonia sp. HNXL2012-06",2
"2446","Aschersonia sp. JOWM-14",1
"2447","Aschersonia sp. JOWM-48",1
"2448","Aschersonia sp. JOWM-7",1
"2449","Aschersonia sp. JZQ-2014a",9
"2450","Aschersonia sp. MDYS2010351",2
"2451","Aschersonia sp. P.C. 569",2
"2452","Aschersonia sp. P.C. 627",2
"2453","Aschersonia sp. P.C. 735",2
"2454","Aschersonia sp. SMSX",1
"2455","Aschersonia sp. WYBX-3",1
"2456","Aschersonia sp. WYFC201001",2
"2457","Aschersonia sp. WYFC201002",2
"2458","Aschersonia sp. WYSD",1
"2459","Aschersonia sp. WYSD-14",1
"2460","Aschersonia sp. WYTM-1",1
"2461","Aschersonia sp. WYTY-5",1
"2462","Aschersonia sp. WYTY-75",2
"2463","Aschersonia sp. WYYS-46",1
"2464","Aschersonia sp. WYYS-47",1
"2465","Aschersonia sp. WYYS-52",1
"2466","Aschersonia sp. WYYS-6",2
"2467","Aschersonia sp. YX-2018",2
"2468","Aschersonia viridans",3
"2469","Ascitendus austriacus",2
"2470","Ascobolus carbonarius",3
"2471","Ascobolus crenulatus",3
"2472","Ascobolus denudatus",1
"2473","Ascobolus immersus",19
"2474","Ascobolus immersus RN42",17317
"2475","Ascobolus sp",2
"2476","Ascobolus sp. WF106",1
"2477","Ascochyta astragalina",1
"2478","Ascochyta benningiorum",2
"2479","Ascochyta cf. clinopodiicola",1
"2480","Ascochyta clinopodiicola",1
"2481","Ascochyta coronillae-emeri",2
"2482","Ascochyta dolomitica",1
"2483","Ascochyta fabae f. sp. viciae",2
"2484","Ascochyta herbicola",4
"2485","Ascochyta kamchatica",2
"2486","Ascochyta koolunga",4
"2487","Ascochyta lentis",12
"2488","Ascochyta medicaginicola",32
"2489","Ascochyta medicaginicola var. macrospora",4
"2490","Ascochyta medicaginicola var. medicaginicola",2
"2491","Ascochyta neopisi",1
"2492","Ascochyta nigripycnidia",2
"2493","Ascochyta phacae",2
"2494","Ascochyta pilosella",2
"2495","Ascochyta pisi",10
"2496","Ascochyta sp",3
"2497","Ascochyta sp. AM2",2
"2498","Ascochyta sp. AV1",2
"2499","Ascochyta sp. AV8",1
"2500","Ascochyta sp. B SK-2018a",1
"2501","Ascochyta sp. CBS 113797",1
"2502","Ascochyta sp. Georgia11",2
"2503","Ascochyta sp. Georgia12",1
"2504","Ascochyta sp. Georgia16",1
"2505","Ascochyta sp. Georgia2",2
"2506","Ascochyta sp. Georgia3",2
"2507","Ascochyta sp. Georgia6",1
"2508","Ascochyta sp. HO-2016",2
"2509","Ascochyta sp. SCJ-2017a",2
"2510","Ascochyta syringae",2
"2511","Ascochyta viciae",2
"2512","Ascochyta viciae-pannonicae",2
"2513","Ascochyta viciae-villosae",2
"2514","Ascocoryne cylichnium",4
"2515","Ascocoryne sarcoides (Purple jellydisc fungus) (Bulgaria sarcoides)",8
"2516","Ascocoryne sp",2
"2517","Ascocratera manglicola",4
"2518","Ascodesmis nigricans",9344
"2519","Ascodesmis sphaerospora",1
"2520","Ascoidea asiatica",2
"2521","Ascoidea rubescens DSM 1968",6424
"2522","Ascoidea tarda (nom. inval.)",3
"2523","Ascomycota sp",9
"2524","Ascomycota sp. A DS-2012",1
"2525","Ascomycota sp. AFTOL 1376b",1
"2526","Ascomycota sp. AFTOL 1662",1
"2527","Ascomycota sp. AFTOL 1797b",1
"2528","Ascomycota sp. aurim1069",1
"2529","Ascomycota sp. CBMAI 1026",1
"2530","Ascomycota sp. F53",7
"2531","Ascomycota sp. MUT 5303",1
"2532","Ascomycota sp. MUT 5327",1
"2533","Ascopolyporus polychrous",2
"2534","Ascopolyporus villosus",2
"2535","Ascorhizoctonia sp. BCS-1",1
"2536","Ascosphaera acerosa",2
"2537","Ascosphaera aggregata",5
"2538","Ascosphaera apis",9
"2539","Ascosphaera apis ARSEF 7405",6116
"2540","Ascosphaera atra",2
"2541","Ascosphaera cf. larvis 64254",1
"2542","Ascosphaera flava",2
"2543","Ascosphaera larvis",2
"2544","Ascosphaera major",2
"2545","Ascosphaera osmophila",2
"2546","Ascosphaera pollenicola",2
"2547","Ascosphaera proliperda",2
"2548","Ascosphaera sp. ATCC 64254",1
"2549","Ascosphaera sp. I DLW-2010",1
"2550","Ascosphaera sp. MR DLW-2010",1
"2551","Ascosphaera torchioi",3
"2552","Ascosphaera variegata",2
"2553","Ascospirella lutea",8
"2554","Ascotaiwania lignicola",2
"2555","Ascotaiwania sawadae",2
"2556","Ascothailandia grenadoidea",3
"2557","Asellaria ligiae",3
"2558","Aseroe arachnoidea",1
"2559","Aseroe rubra",1
"2560","Aseroe sp. KH-NC09-027 (TNS)",1
"2561","Ashbya aceri (Yeast)",4318
"2562","Aspergillaceae sp. 1 PB-2018a",1
"2563","Aspergillaceae sp. 2 PB-2018b",1
"2564","Aspergillaceae sp. 3 PB-2018c",1
"2565","Aspergillaceae sp. 4 PB-2018d",1
"2566","Aspergillaceae sp. 5 PB-2018e",1
"2567","Aspergillago clavatoflava",9
"2568","Aspergillus acanthosporus",13
"2569","Aspergillus acidohumus",3
"2570","Aspergillus aculeatinus",15
"2571","Aspergillus aculeatus",101
"2572","Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)",10454
"2573","Aspergillus aeneus",8
"2574","Aspergillus aff. dimorphicus",1
"2575","Aspergillus aff. tubingensis V-04-N17",1
"2576","Aspergillus aff. tubingensis V-04-N22",1
"2577","Aspergillus affinis",7
"2578","Aspergillus aflatoxiformans",4
"2579","Aspergillus agricola",2
"2580","Aspergillus alabamensis",21
"2581","Aspergillus allahabadii",23
"2582","Aspergillus amazonicus",3
"2583","Aspergillus ambiguus",8
"2584","Aspergillus amethystinus",3
"2585","Aspergillus amoenus",19
"2586","Aspergillus amstelodami",61
"2587","Aspergillus amylovorus",11
"2588","Aspergillus angustatus",3
"2589","Aspergillus anomalus",1
"2590","Aspergillus anthodesmis",5
"2591","Aspergillus apicalis",2
"2592","Aspergillus appendiculatus",3
"2593","Aspergillus arachidicola",21803
"2594","Aspergillus arcoverdensis",18
"2595","Aspergillus ardalensis",3
"2596","Aspergillus arenarioides",6
"2597","Aspergillus arvii",3
"2598","Aspergillus arxii",6
"2599","Aspergillus askiburgiensis",2
"2600","Aspergillus asper",3
"2601","Aspergillus asperescens",12
"2602","Aspergillus assulatus",2
"2603","Aspergillus astellatus",21
"2604","Aspergillus atacamensis",3
"2605","Aspergillus aurantiobrunneus",12
"2606","Aspergillus aurantiopurpureus",4
"2607","Aspergillus auratus",8
"2608","Aspergillus aureolatus",13
"2609","Aspergillus aureolus",26
"2610","Aspergillus aureoterreus",10
"2611","Aspergillus aureus var. pallidus",3
"2612","Aspergillus auricomus",6
"2613","Aspergillus australiensis",4
"2614","Aspergillus austroafricanus",11
"2615","Aspergillus avenaceus",10924
"2616","Aspergillus awamori (Black koji mold)",10648
"2617","Aspergillus awamori var. fumeus",2
"2618","Aspergillus awamori var. fuscus",1
"2619","Aspergillus awamori var. minimus",1
"2620","Aspergillus awamori var. piceus",1
"2621","Aspergillus baarnensis",14
"2622","Aspergillus baeticus",3
"2623","Aspergillus banksianus",3
"2624","Aspergillus bertholletiae",12575
"2625","Aspergillus bezerrae",3
"2626","Aspergillus bicolor",8
"2627","Aspergillus biplanus",8
"2628","Aspergillus bisporus",11
"2629","Aspergillus bombycis",11858
"2630","Aspergillus botswanensis",4
"2631","Aspergillus brasiliensis",78
"2632","Aspergillus brasiliensis (strain CBS 101740 / IMI 381727 / IBT 21946)",12541
"2633","Aspergillus brevijanus",4
"2634","Aspergillus brevipes",10
"2635","Aspergillus brevistipitatus",4
"2636","Aspergillus bridgeri",7
"2637","Aspergillus brunneouniseriatus",17
