"","protid","Organism","Taxonomic.lineage","Kingdom","Phylum","Order"
"19","A0A1Y1ZAA3","Basidiobolus meristosporus CBS 931.73","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Zoopagomycota (phylum), Entomophthoromycotina (subphylum), Basidiobolomycetes (class), Basidiobolales (order), Basidiobolaceae (family), Basidiobolus (genus), Basidiobolus meristosporus (species)","Fungi","Zoopagomycota","Basidiobolales"
"20","A0A5N5QJA4","Ceratobasidium theobromae","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Cantharellales (order), Ceratobasidiaceae (family), Ceratobasidium (genus)","Fungi","Basidiomycota","Cantharellales"
"21","A0A397GNG9","Diversispora epigaea","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Glomeromycotina (subphylum), Glomeromycetes (class), Diversisporales (order), Diversisporaceae (family), Diversispora (genus)","Fungi","Mucoromycota","Diversisporales"
"22","A0A0D0DQ56","Paxillus rubicundulus Ve08.2h10","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Boletales (order), Paxilineae (suborder), Paxillaceae (family), Paxillus (genus), Paxillus rubicundulus (species)","Fungi","Basidiomycota","Boletales"
"23","A0A6H0XJQ4","Peltaster fructicola","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetes incertae sedis (no rank), Peltaster (genus)","Fungi","Ascomycota","no_order_rank"
"24","A0A4V1IXX9","Piptocephalis cylindrospora","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Zoopagomycota (phylum), Zoopagomycotina (subphylum), Zoopagomycetes (class), Zoopagales (order), Piptocephalidaceae (family), Piptocephalis (genus)","Fungi","Zoopagomycota","Zoopagales"
"25","A0A1Y2CQY7","Rhizoclosmatium globosum","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Chytridiales (order), Chytriomycetaceae (family), Rhizoclosmatium (genus)","Fungi","Chytridiomycota","Chytridiales"
"26","A0A507F8Q6","Spizellomyces sp. 'palustris'","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Spizellomycetales (order), Spizellomycetaceae (family), Spizellomyces (genus), unclassified Spizellomyces (no rank)","Fungi","Chytridiomycota","Spizellomycetales"
"27","A0A4P9XX40","Thamnocephalis sphaerospora","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Zoopagomycota (phylum), Zoopagomycotina (subphylum), Zoopagomycetes (class), Zoopagales (order), Sigmoideomycetaceae (family), Thamnocephalis (genus)","Fungi","Zoopagomycota","Zoopagales"
"28","A0A163IQM7","Absidia glauca (Pin mould)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Cunninghamellaceae (family), Absidia (genus)","Fungi","Mucoromycota","Mucorales"
"29","A0A1X2IHP9","Absidia repens","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Cunninghamellaceae (family), Absidia (genus)","Fungi","Mucoromycota","Mucorales"
"30","A0A0P1BCG6","Ceraceosorus bombacis","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Exobasidiomycetes (class), Ceraceosorales (order), Ceraceosoraceae (family), Ceraceosorus (genus)","Fungi","Basidiomycota","Ceraceosorales"
"31","A0A0D0TUG6","Cryptococcus gattii CA1280","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Tremellales (order), Cryptococcaceae (family), Cryptococcus (genus), Cryptococcus gattii species complex (no rank), Cryptococcus gattii (species)","Fungi","Basidiomycota","Tremellales"
"32","A0A4P9ZML4","Dimargaris cristalligena","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Zoopagomycota (phylum), Kickxellomycotina (subphylum), Dimargaritomycetes (class), Dimargaritales (order), Dimargaritaceae (family), Dimargaris (genus)","Fungi","Zoopagomycota","Dimargaritales"
"33","A0A139A9P3","Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Monoblepharidomycetes (class), Monoblepharidales (order), Gonapodyaceae (family), Gonapodya (genus), Gonapodya prolifera (species)","Fungi","Chytridiomycota","Monoblepharidales"
"34","A0A1X2GBW2","Hesseltinella vesiculosa","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Cunninghamellaceae (family), Hesseltinella (genus)","Fungi","Mucoromycota","Mucorales"
"35","A0A077R0R3","Melanopsichium pennsylvanicum 4","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Melanopsichium (genus), Melanopsichium pennsylvanicum (species)","Fungi","Basidiomycota","Ustilaginales"
"36","W3VPW7","Moesziomyces aphidis (Pseudozyma aphidis)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Moesziomyces (genus)","Fungi","Basidiomycota","Ustilaginales"
"37","A0A1Y2BCP3","Naematelia encephala","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Tremellales (order), Naemateliaceae (family), Naematelia (genus)","Fungi","Basidiomycota","Tremellales"
"38","A0A0B7MQG9","Parasitella parasitica","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Mucorineae (suborder), Mucoraceae (family), Parasitella (genus)","Fungi","Mucoromycota","Mucorales"
"39","A0A0C3PVN5","Phlebiopsis gigantea (strain 11061_1 CR5-6) (White-rot fungus) (Peniophora gigantea)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Polyporales (order), Phanerochaetaceae (family), Phlebiopsis (genus), Phlebiopsis gigantea (species)","Fungi","Basidiomycota","Polyporales"
"40","M9LZQ1","Pseudozyma antarctica (strain T-34) (Yeast) (Candida antarctica)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Moesziomyces (genus), Pseudozyma antarctica (species)","Fungi","Basidiomycota","Ustilaginales"
"41","A0A5C3FJR6","Pseudozyma antarctica (Yeast) (Candida antarctica)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Moesziomyces (genus)","Fungi","Basidiomycota","Ustilaginales"
"42","E6ZX53","Sporisorium reilianum (strain SRZ2) (Maize head smut fungus)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Sporisorium (genus), Sporisorium reilianum (species)","Fungi","Basidiomycota","Ustilaginales"
"43","A0A2N8UAG0","Sporisorium reilianum f. sp. reilianum","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Sporisorium (genus), Sporisorium reilianum (species)","Fungi","Basidiomycota","Ustilaginales"
"44","A0A127Z5N8","Sporisorium scitamineum","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Sporisorium (genus)","Fungi","Basidiomycota","Ustilaginales"
"45","A0A317XSB3","Testicularia cyperi","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Anthracoideaceae (family), Testicularia (genus)","Fungi","Basidiomycota","Ustilaginales"
"46","A0A1K0H9Y7","Ustilago bromivora","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Ustilago (genus)","Fungi","Basidiomycota","Ustilaginales"
"47","A0A5C3E5E7","Ustilago trichophora","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Ustilago (genus)","Fungi","Basidiomycota","Ustilaginales"
"48","A0A7D8Z7G8","Vanrija humicola","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Trichosporonales (order), Trichosporonaceae (family), Vanrija (genus)","Fungi","Basidiomycota","Trichosporonales"
"49","A0A0C2XML7","Amanita muscaria (strain Koide BX008)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Pluteineae (suborder), Amanitaceae (family), Amanita (genus), Amanita muscaria (species)","Fungi","Basidiomycota","Agaricales"
"50","A0A2A9P1B7","Amanita thiersii Skay4041","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Pluteineae (suborder), Amanitaceae (family), Amanita (genus), Amanita thiersii (species)","Fungi","Basidiomycota","Agaricales"
"51","A0A2H3EQ31","Armillaria gallica (Bulbous honey fungus) (Armillaria bulbosa)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Marasmiineae (suborder), Physalacriaceae (family), Armillaria (genus)","Fungi","Basidiomycota","Agaricales"
"52","A0A2H3CFQ4","Armillaria solidipes","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Marasmiineae (suborder), Physalacriaceae (family), Armillaria (genus)","Fungi","Basidiomycota","Agaricales"
"53","A0A436ZY22","Arthrobotrys flagrans","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), Orbiliomycetes (class), Orbiliales (order), Orbiliaceae (family), Arthrobotrys (genus)","Fungi","Ascomycota","Orbiliales"
"54","A0A3N4IRK0","Ascobolus immersus RN42","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), Pezizomycetes (class), Pezizales (order), Ascobolaceae (family), Ascobolus (genus), Ascobolus immersus (species)","Fungi","Ascomycota","Pezizales"
"55","A0A550CNH3","Auriculariopsis ampla","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Schizophyllineae (suborder), Schizophyllaceae (family), Auriculariopsis (genus)","Fungi","Basidiomycota","Agaricales"
"56","A0A4S4LWU9","Bondarzewia mesenterica","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Russulales (order), Bondarzewiaceae (family), Bondarzewia (genus)","Fungi","Basidiomycota","Russulales"
"57","A0A067LYG7","Botryobasidium botryosum FD-172 SS1","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Cantharellales (order), Botryobasidiaceae (family), Botryobasidium (genus), Botryobasidium botryosum (species)","Fungi","Basidiomycota","Cantharellales"
"58","M2RUB7","Ceriporiopsis subvermispora (strain B) (White-rot fungus) (Gelatoporia subvermispora)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Polyporales (order), Gelatoporiaceae (family), Gelatoporia (genus), Ceriporiopsis subvermispora (species)","Fungi","Basidiomycota","Polyporales"
"59","A0A1C7N5X5","Choanephora cucurbitarum","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Mucorineae (suborder), Choanephoraceae (family), Choanephoroideae (subfamily), Choanephora (genus)","Fungi","Mucoromycota","Mucorales"
"60","A0A3N4JR07","Choiromyces venosus 120613-1","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), Pezizomycetes (class), Pezizales (order), Tuberaceae (family), Choiromyces (genus), Choiromyces venosus (species)","Fungi","Ascomycota","Pezizales"
"61","A0A0J8RCM8","Coccidioides immitis RMSCC 3703","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Onygenales (order), Onygenaceae (family), Coccidioides (genus), Coccidioides immitis (species)","Fungi","Ascomycota","Onygenales"
"62","A0A4Y7TM90","Coprinellus micaceus (Glistening ink-cap mushroom) (Coprinus micaceus)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Agaricineae (suborder), Psathyrellaceae (family), Coprinellus (genus)","Fungi","Basidiomycota","Agaricales"
"63","A0A5C3LEW4","Coprinopsis marcescibilis (Agaric fungus) (Psathyrella marcescibilis)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Agaricineae (suborder), Psathyrellaceae (family), Coprinopsis (genus)","Fungi","Basidiomycota","Agaricales"
"64","A0A5C3M729","Crucibulum laeve","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Agaricineae (suborder), Nidulariaceae (family), Crucibulum (genus)","Fungi","Basidiomycota","Agaricales"
"65","S8A0H8","Dactylellina haptotyla (strain CBS 200.50) (Nematode-trapping fungus) (Monacrosporium haptotylum)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), Orbiliomycetes (class), Orbiliales (order), Orbiliaceae (family), Dactylellina (genus), Dactylellina haptotyla (species)","Fungi","Ascomycota","Orbiliales"
"66","A0A4S8MQ53","Dendrothele bispora (strain CBS 962.96)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Agaricales incertae sedis (no rank), Dendrothele (genus), Dendrothele bispora (species)","Fungi","Basidiomycota","Agaricales"
"67","A0A5B1QFW5","Dentipellis sp. KUC8613","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Russulales (order), Hericiaceae (family), Dentipellis (genus), unclassified Dentipellis (no rank)","Fungi","Basidiomycota","Russulales"
"68","W7IHT9","Drechslerella stenobrocha 248","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), Orbiliomycetes (class), Orbiliales (order), Orbiliaceae (family), Drechslerella (genus), Drechslerella stenobrocha (species)","Fungi","Ascomycota","Orbiliales"
"69","A0A165PPE8","Exidia glandulosa HHB12029","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Auriculariales (order), Exidiaceae (family), Exidia (genus), Exidia glandulosa (species)","Fungi","Basidiomycota","Auriculariales"
