,tip.label,Phylum,FDA,ascus_dehiscence,auxinResponsivePromoter_count,growth_form_fg,spore_length,spore_width,trophic_mode_fg
75,Laccaria_amethystina,Basidiomycota,No,NA,6,NA,9,8.8,NA
77,Laccaria_bicolor,Basidiomycota,Yes,NA,5,NA,8.3,7.3,NA
79,Lasallia_pustulata,Ascomycota,Yes,Rostrate,NA,NA,NA,NA,NA
80,Lichtheimia_corymbifera,Mucoromycota,Yes,NA,NA,NULL,NA,NA,Pathotroph-Saprotroph
81,Macrophomina_phaseolina,Ascomycota,No,NA,0,Microfungus,NA,NA,Pathotroph-Symbiotroph
82,Malassezia_sympodialis,Basidiomycota,Yes,NA,0,NULL,NA,NA,Pathotroph
83,Metarhizium_acridum,Ascomycota,No,NA,0,NA,NA,NA,NA
84,Metarhizium_robertsii,Ascomycota,No,NA,0,NULL,NA,NA,Symbiotroph
85,Microdochium_bolleyi,Ascomycota,No,NA,NA,NULL,NA,NA,Pathotroph
86,Mixia_osmundae,Basidiomycota,Yes,NA,0,Facultative Yeast,NA,NA,Saprotroph
87,Monilinia_laxa,Ascomycota,No,Poricidal,NA,Microfungus,NA,NA,Pathotroph
88,Moniliophthora_perniciosa,Basidiomycota,No,NA,0,Agaricoid,NA,NA,Pathotroph
90,Neurospora_crassa,Ascomycota,No,Poricidal,0,NULL,NA,NA,Pathotroph-Saprotroph
92,Neurospora_tetrasperma,Ascomycota,No,NA,0,NA,NA,NA,NA
93,Oidiodendron_maius,Ascomycota,No,NA,0,NA,NA,NA,NA
95,Paxillus_involutus,Basidiomycota,No,NA,27,Agaricoid,9,5.8,Symbiotroph
97,Paxillus_rubicundulus,Basidiomycota,Yes,NA,9,NA,NA,NA,NA
98,Penicillium_chrysogenum,Ascomycota,No,NA,0,Facultative Yeast,NA,NA,Pathotroph
100,Penicillium_oxalicum,Ascomycota,No,NA,0,NULL,NA,NA,Pathotroph
101,Phaeoacremonium_minimum,Ascomycota,No,Poricidal,0,NA,NA,NA,NA
103,Phaeosphaeria_nodorum,Ascomycota,No,Fissitunicate,NA,NULL,NA,NA,Pathotroph
104,Phanerochaete_carnosa,Basidiomycota,Yes,NA,0,NA,NA,NA,NA
105,Phlebiopsis_gigantea,Basidiomycota,Yes,NA,0,NA,NA,NA,NA
106,Phycomyces_blakesleeanus,Mucoromycota,Yes,NA,NA,NULL,NA,NA,Saprotroph
107,Pisolithus_microcarpus,Basidiomycota,No,NA,19,NA,NA,NA,NA
108,Pleomassaria_siparia,Ascomycota,Yes,Fissitunicate,NA,NA,NA,NA,NA
110,Pleurotus_ostreatus,Basidiomycota,No,NA,0,Agaricoid,NA,NA,Pathotroph-Saprotroph
111,Pseudozyma_hubeiensis,Basidiomycota,Yes,NA,0,NULL,NA,NA,Pathotroph
113,Puccinia_graminis,Basidiomycota,Yes,NA,0,Rust,NA,NA,Pathotroph
115,Puccinia_striiformis,Basidiomycota,No,NA,0,Rust,NA,NA,Pathotroph
116,Pyrenophora_teres,Ascomycota,No,NA,0,NULL,NA,NA,Pathotroph
117,Pyronema_omphalodes,Ascomycota,No,NA,0,NA,NA,NA,NA
118,Rhizophagus_clarus,Mucoromycota,Yes,NA,NA,NA,222,222,NA
119,Rhizopus_microsporus,Mucoromycota,No,NA,0,NULL,NA,NA,Pathotroph
120,Rhizopus_stolonifer,Mucoromycota,No,NA,NA,NULL,NA,NA,Pathotroph-Symbiotroph
121,Rhodotorula_toruloides,Basidiomycota,No,NA,0,NA,NA,NA,NA
122,Rozella_allomycis,Cryptomycota,No,NA,0,NULL,NA,NA,Symbiotroph
124,Saccharomyces_cerevisiae,Ascomycota,No,Deliquescent,0,Yeast,NA,NA,Saprotroph
126,Schizophyllum_commune,Basidiomycota,Yes,NA,NA,Agaricoid,NA,NA,Pathotroph-Saprotroph
127,Scleroderma_citrinum,Basidiomycota,Yes,NA,25,NA,NA,NA,NA
128,Sclerotinia_sclerotiorum,Ascomycota,Yes,Poricidal,0,NULL,NA,NA,Pathotroph
131,Serendipita_indica,Basidiomycota,No,NA,0,NA,NA,NA,NA
132,Serendipita_vermifera,Basidiomycota,Yes,NA,0,NA,NA,NA,NA
133,Sphaerobolus_stellatus,Basidiomycota,Yes,NA,2,NA,NA,NA,NA
134,Sphaerulina_musiva,Ascomycota,Yes,NA,0,NA,NA,NA,NA
135,Suillus_luteus,Basidiomycota,No,NA,1,NA,NA,NA,NA
136,Talaromyces_pinophilus,Ascomycota,No,NA,NA,NULL,NA,NA,Pathotroph
138,Thanatephorus_cucumeris,Basidiomycota,Yes,NA,0,NULL,NA,NA,Pathotroph-Symbiotroph
139,Tilletiaria_anomala,Basidiomycota,Yes,NA,0,NULL,NA,NA,Pathotroph
140,Tolypocladium_capitatum,Ascomycota,No,Poricidal,NA,NA,NA,NA,NA
141,Tolypocladium_ophioglossoides,Ascomycota,No,Poricidal,NA,Cordyceptoid,NA,NA,Pathotroph
142,Trematosphaeria_pertusa,Ascomycota,No,Fissitunicate,NA,NA,NA,NA,NA
143,Tremella_mesenterica,Basidiomycota,No,NA,0,Facultative Yeast,NA,NA,Pathotroph
144,Trichoderma_asperellum,Ascomycota,No,NA,NA,NULL,NA,NA,Symbiotroph
145,Trichoderma_harzianum,Ascomycota,No,NA,NA,NULL,NA,NA,Pathotroph
